rank,name,usps,pop2021,pop2010,growth,density,aland_sqmi
1,New York City,NY,8230290,8190210,0.0049,27400,300.381
2,Los Angeles,CA,3983540,3795510,0.0495,8494,468.956
3,Chicago,IL,2679080,2697480,-0.0068,11783,227.369
4,Houston,TX,2323660,2100280,0.1064,3630,640.194
5,Phoenix,AZ,1733630,1449040,0.1964,3349,517.673
6,Philadelphia,PA,1585010,1528280,0.0371,11804,134.279
7,San Antonio,TX,1581730,1332300,0.1872,3261,485.113
8,San Diego,CA,1427720,1305910,0.0933,4381,325.877
9,Dallas,TX,1347120,1200350,0.1223,3965,339.736
10,Austin,TX,1011790,806164,0.2551,3162,319.939
11,San Jose,CA,1009340,954940,0.057,5677,177.808
12,Fort Worth,TX,942323,748441,0.259,2727,345.584
13,Jacksonville,FL,929647,823114,0.1294,1244,747.467
14,Columbus,OH,913921,790943,0.1555,4169,219.197
15,Charlotte,NC,912096,738444,0.2352,2969,307.238
16,Indianapolis,IN,887232,821579,0.0799,2454,361.571
17,San Francisco,CA,883255,805505,0.0965,18832,46.903
18,Seattle,WA,776555,610630,0.2717,9260,83.862
19,Denver,CO,749103,603359,0.2416,4887,153.292
20,Washington,DC,714153,605226,0.18,11681,61.136
21,Boston,MA,695506,621048,0.1199,14388,48.339
22,El Paso,TX,685434,650671,0.0534,2663,257.42
23,Nashville,TN,678448,604589,0.1222,1427,475.543
24,Oklahoma City,OK,669347,582516,0.1491,1104,606.445
25,Las Vegas,NV,667501,584576,0.1419,4708,141.767
26,Detroit,MI,664139,711131,-0.0661,4788,138.715
27,Portland,OR,662549,585429,0.1317,4966,133.421
28,Memphis,TN,651011,652326,-0.002,2051,317.357
29,Louisville,KY,615924,596482,0.0326,2338,263.434
30,Milwaukee,WI,587721,594865,-0.012,6110,96.184
31,Baltimore,MD,575584,620915,-0.073,7111,80.947
32,Albuquerque,NM,562281,546755,0.0284,3003,187.215
33,Tucson,AZ,554503,527160,0.0519,2330,238.014
34,Mesa,AZ,538146,440993,0.2203,3897,138.085
35,Fresno,CA,537100,497769,0.079,4682,114.725
36,Sacramento,CA,525398,467286,0.1244,5376,97.73
37,Atlanta,GA,524067,429410,0.2204,3861,135.737
38,Kansas City,MO,501957,460697,0.0896,1594,314.886
39,Colorado Springs,CO,489529,420685,0.1636,2510,195
40,Raleigh,NC,483579,406353,0.19,3315,145.886
41,Omaha,NE,479978,459659,0.0442,3405,140.983
42,Miami,FL,478251,400779,0.1933,13286,35.996
43,Long Beach,CA,456154,462431,-0.0136,8998,50.696
44,Virginia Beach,VA,450224,438859,0.0259,1840,244.723
45,Oakland,CA,440981,391406,0.1267,7890,55.893
46,Minneapolis,MN,439012,383067,0.146,8130,54
47,Tampa,FL,404636,337053,0.2005,3549,114.017
48,Tulsa,OK,402742,392403,0.0263,2039,197.478
49,Arlington,TX,400316,365892,0.0941,4180,95.779
50,Wichita,KS,391352,382745,0.0225,2421,161.662
51,Bakersfield,CA,389007,348987,0.1147,2598,149.758
52,Aurora,CO,388723,326055,0.1922,2520,154.272
53,New Orleans,LA,388424,347772,0.1169,2292,169.434
54,Cleveland,OH,376599,395926,-0.0488,4847,77.694
55,Anaheim,CA,349699,336760,0.0384,6950,50.32
56,Henderson,NV,341531,257452,0.3266,3220,106.082
57,Honolulu,HI,341302,339121,0.0064,5637,60.544
